SoftwareName,Version,Publisher,InstallPath,InstallDate,LastModifiedDate,AppStartTime,ScanSource,DetectedLicenseType,LicenseName,ConfidenceLevel,IsVerified,EvidenceCount,Notes,PluginId,ScannedAtUtc
"AntiCheatExpert","28.0.2604.938","Unknown Publisher","C:\Program Files\AntiCheatExpert","","2026/06/08 01:59:03 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Proprietary Anti-Cheat / Security Driver EULA","Verified","True",1,"Verifies system integrity enforcement drivers and anti-tamper security platforms.","std.security.anticheat","2026/07/16 16:43:32 VN Time (UTC+7)"
"Armoury Crate Service","6.5.7.0","ASUSTeK COMPUTER INC.","","2025/12/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Docker Desktop","4.66.0","Docker Inc.","C:\Program Files\Docker\Docker","","2026/03/24 10:44:05 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Docker Desktop Commercial / Subscription License","High","True",1,"Verified via local Docker resources LICENSE file checks.","std.docker.desktop","2026/07/16 16:43:32 VN Time (UTC+7)"
"Docker Desktop","4.66.0","Docker Inc.","C:\Program Files\Docker\Docker","","2026/03/24 10:44:05 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","Open Source License (Heuristic)","Medium","False",1,"Evaluated via open source artifact and keyword matching. Verified: False.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","2026/06/05","2026/04/20 10:51:22 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","GNU General Public License (GPL)","Verified","True",1,"Verified via Git distribution directory COPYING/LICENSE.txt checks.","std.git.opensource","2026/07/16 16:43:32 VN Time (UTC+7)"
"Git","2.54.0","The Git Development Community","C:\Program Files\Git\","2026/06/05","2026/04/20 10:51:22 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","GNU General Public License (GPL)","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1170 for SQL Server 2022 (KB5077465) (64-bit)","16.0.1170.5","Microsoft Corporation","","2026/04/18","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1175 for SQL Server 2022 (KB5084815) (64-bit)","16.0.1175.1","Microsoft Corporation","","2026/05/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"GDR 1180 for SQL Server 2022 (KB5091158) (64-bit)","16.0.1180.1","Microsoft Corporation","","2026/05/16","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft SQL Server 2022 (64-bit)","Unknown","Microsoft Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation","C:\Program Files\Microsoft OneDrive","2025/12/27","2026/07/11 12:08:23 VN Time (UTC+7)","2026/07/16 09:52:33 VN Time (UTC+7)","WindowsRegistryScanner (LocalMachine/Registry64) + DeepFileSystem (RAM: OneDrive.exe | Original: OneDrive.exe)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Riot Vanguard","Unknown","Riot Games, Inc.","C:\Program Files\Riot Vanguard","1780458889","2026/07/13 07:00:18 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Proprietary Anti-Cheat / Security Driver EULA","Verified","True",1,"Verifies system integrity enforcement drivers and anti-tamper security platforms.","std.security.anticheat","2026/07/16 16:43:32 VN Time (UTC+7)"
"Riot Vanguard","Unknown","Riot Games, Inc.","C:\Program Files\Riot Vanguard","1780458889","2026/07/13 07:00:18 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Palworld","Unknown","Pocketpair","E:\steam\steamapps\common\Palworld","","2026/07/15 09:08:51 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"OBS Studio","Unknown","OBS Project","E:\steam\steamapps\common\OBS Studio","","2026/07/10 13:28:06 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","OpenSource","GNU General Public License v2.0 (GPL-2.0)","Verified","True",1,"Identified OBS Studio open source video recording package.","std.obs.studio","2026/07/16 16:43:32 VN Time (UTC+7)"
"Source SDK Base 2007","Unknown","Valve","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Cities: Skylines","Unknown","Colossal Order","E:\SteamLibrary\steamapps\common\Cities_Skylines","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Grand Theft Auto V Legacy","Unknown","Rockstar North","E:\steam\steamapps\common\Grand Theft Auto V","","2026/07/14 14:40:32 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Sid Meier's Civilization VI","Unknown","Firaxis Games","E:\steam\steamapps\common\Sid Meier's Civilization VI","","2026/05/24 14:25:28 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Stardew Valley","Unknown","ConcernedApe","E:\steam\steamapps\common\Stardew Valley","","2026/05/24 10:21:32 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","High","True",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Wallpaper Engine","Unknown","Wallpaper Engine Team","E:\steam\steamapps\common\wallpaper_engine","","2026/06/30 17:13:23 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Desktop / Utility License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Counter-Strike 2","Unknown","Valve","E:\SteamLibrary\steamapps\common\Counter-Strike Global Offensive","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Green Hell","Unknown","Creepy Jar","E:\steam\steamapps\common\Green Hell","","2026/06/06 05:20:51 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"TablePlus 26.6.0","26.6.0","TablePlus, Inc","C:\Program Files\TablePlus\","2026/07/09","2026/07/08 05:05:32 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","TablePlus Commercial Device License","High","True",1,"Identified TablePlus installation requiring commercial license key.","std.tableplus.client","2026/07/16 16:43:32 VN Time (UTC+7)"
"Unity 2022.3.62f3","2022.3.62f3","Unity Technologies ApS","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Unity Pro / Enterprise Commercial Seat License","Medium","False",1,"Flagged Unity development seat for revenue/funding limit audit.","std.unity.engine","2026/07/16 16:43:32 VN Time (UTC+7)"
"Unity 6000.2.10f1","6000.2.10f1","Unity Technologies ApS","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Unity Pro / Enterprise Commercial Seat License","Medium","False",1,"Flagged Unity development seat for revenue/funding limit audit.","std.unity.engine","2026/07/16 16:43:32 VN Time (UTC+7)"
"Unity 6000.3.1f1","6000.3.1f1","Unity Technologies ApS","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Unity Pro / Enterprise Commercial Seat License","Medium","False",1,"Flagged Unity development seat for revenue/funding limit audit.","std.unity.engine","2026/07/16 16:43:32 VN Time (UTC+7)"
"Unity Hub 3.17.3","3.17.3","Unity Technologies Inc.","","","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Unity Pro / Enterprise Commercial Seat License","Medium","False",1,"Flagged Unity development seat for revenue/funding limit audit.","std.unity.engine","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft GameInput","3.3.221.0","Microsoft Corporation","","2026/05/20","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Node.js","24.14.1","Node.js Foundation","C:\Program Files\nodejs","2026/04/16","2026/03/24 02:46:18 VN Time (UTC+7)","2026/07/16 13:04:20 VN Time (UTC+7)","WindowsRegistryScanner (LocalMachine/Registry64) + DeepFileSystem (RAM: node.exe | Original: node.exe)","OpenSource","MIT License","High","True",1,"Verified via Node.js local distribution directory LICENSE checks.","std.nodejs.runtime","2026/07/16 16:43:32 VN Time (UTC+7)"
"Node.js","24.14.1","Node.js Foundation","C:\Program Files\nodejs","2026/04/16","2026/03/24 02:46:18 VN Time (UTC+7)","2026/07/16 13:04:20 VN Time (UTC+7)","WindowsRegistryScanner (LocalMachine/Registry64) + DeepFileSystem (RAM: node.exe | Original: node.exe)","OpenSource","MIT License","Medium","False",1,"Evaluated via open source artifact and keyword matching. Verified: False.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","","2026/03/06","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"ROG Live Service","3.5.8.0","ASUSTek COMPUTER INC.","","2026/07/15","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft ODBC Driver 18 for SQL Server","18.6.1.1","Microsoft Corporation","","2026/03/24","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","","2026/04/18","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Paradox Launcher v2","2.4.0","Paradox Interactive","","2026/03/06","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Intel(R) Computing Improvement Program","2.4.11219","Intel Corporation","","2026/07/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft MPI (10.1.12498.18)","10.1.12498.18","Microsoft Corporation","C:\Program Files\Microsoft MPI\","2026/03/24","2026/03/24 08:23:43 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Aura Wallpaper Service","2.2.3.0","ASUSTeK COMPUTER INC.","","2026/07/15","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft VSS Writer for SQL Server 2022","16.0.1000.6","Microsoft Corporation","","2026/05/16","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft OLE DB Driver 19 for SQL Server","19.4.1.0","Microsoft Corporation","","2026/03/24","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA Graphics Driver 610.47","610.47","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{5836CE95-D7C8-43CB-B4E6-85F3674B6BD3}","2026/06/03","2026/06/02 19:40:02 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA App 11.0.7.247","11.0.7.247","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\Display.NvApp.{8F9E8F0B-DED9-44D9-B92A-BACEC6DBE6C0}","2026/05/02","2026/05/02 01:17:02 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA PhysX System Software 9.23.1019","9.23.1019","NVIDIA Corporation","C:\Program Files (x86)\NVIDIA Corporation\PhysX","2025/12/14","2025/12/13 18:19:33 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","Medium","False",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA FrameView SDK 1.7.12227.37421622","1.7.12227.37421622","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\FrameViewSDK","2026/05/02","2026/04/24 07:15:53 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","Medium","False",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA HD Audio Driver 1.4.5.7","1.4.5.7","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{5016C912-AAF4-464C-8D0C-15850FB54EDA}","2026/06/03","2026/06/02 19:40:07 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"NVIDIA USBC Driver 1.52.831.832","1.52.831.832","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\USBC.{03D97859-80D7-4965-82A2-CB226E979B77}","2026/06/03","2026/06/02 19:40:14 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","NVIDIA Software License Agreement (Driver / Companion App)","High","True",1,"Verifies NVIDIA consumer graphics drivers, control applications, and streaming clients.","std.nvidia.consumer","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft SQL Server 2022 Setup (English)","16.0.1180.1","Microsoft Corporation","","2026/05/16","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Cloudflare One Client","26.4.1350.0","Cloudflare, Inc.","","2026/05/12","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Client Application / Service Terms of Use","Medium","False",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"Epic Games Launcher","1.3.161.0","Epic Games, Inc.","C:\Program Files\Epic Games\","2025/12/14","2025/12/13 18:32:35 UTC","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Virtual Assistant","4.3.5","ASUS","","2025/12/14","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Client Application / Service Terms of Use","Medium","False",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"IIS 10.0 Express","10.0.11304","Microsoft Corporation","","2026/05/23","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"AURA lighting effect add-on x64","0.0.60","ASUSTek COMPUTER INC.","","2026/07/15","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Web Deploy 4.0","10.0.9419","Microsoft Corporation","","2026/03/24","","","WindowsRegistryScanner (LocalMachine/Registry64)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft SQL Server 2019 LocalDB","15.0.4382.1","Microsoft Corporation","","2026/04/01","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft SQL Server 2025 LocalDB","17.0.4025.3","Microsoft Corporation","","2026/05/23","","","WindowsRegistryScanner (LocalMachine/Registry64)","Commercial","Microsoft SQL Server Commercial License","Medium","False",1,"Verified via SQL Server engine binary presence and edition naming.","std.microsoft.sqlserver","2026/07/16 16:43:32 VN Time (UTC+7)"
"Wuthering Waves","2.6.3.0","Guangzhou Kuro Technology Co., Ltd","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Commercial","Commercial Digital Game License (Steam / Epic / Store)","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"LDPlayer 9","9.5.19.0","JUST OKAY LIMITED","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Edge","148.0.3967.70","Microsoft Corporation","C:\Program Files (x86)\Microsoft\Edge\Application","2026/05/17","2026/05/15 07:59:46 UTC","2026/07/16 09:53:29 VN Time (UTC+7)","WindowsRegistryScanner (LocalMachine/Registry32) + DeepFileSystem (RAM: msedge.exe | Original: msedge.exe)","Freeware","Chromium Based Freeware Terms of Service","High","True",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Overwolf","0.304.1.1","Overwolf Ltd.","C:\Program Files (x86)\Overwolf\","","2026/07/14 07:58:10 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Rockstar Games Launcher","1.0.107.2944","Rockstar Games","E:\Launcher","","2026/07/11 06:23:06 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Rockstar Games SDK","2.4.0.216","Rockstar Games","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Game Client / Launcher EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Steam","2.10.91.91","Valve Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Free Client Launcher / Platform Service EULA","Medium","False",1,"Analyzes digital distribution clients, launchers, and licensed entertainment software.","std.gaming.ecosystem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Intel(R) Wireless Bluetooth(R)","24.30.1.1","Intel Corporation","C:\Program Files (x86)\Intel\","2026/03/25","2026/07/14 16:25:33 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"AOMEI Partition Assistant 10.10.1","10.10.1","AOMEI International Network Limited.","C:\Program Files (x86)\AOMEI Partition Assistant\","2026/06/03","2025/08/03 07:00:00 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Commercial","Commercial Desktop / Utility License","High","True",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Intel® Driver & Support Assistant","26.2.0.7","Intel","","2026/07/14","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Freeware / Browser Terms of Service","Medium","False",1,"Identifies web navigation clients, open source database tools, and desktop input utilities.","std.browsers.tools","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","12.0.30501.0","Microsoft Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247","14.51.36247.0","Microsoft Corporation","","","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Microsoft Runtime & Redistributable EULA","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","","2026/02/24","","","WindowsRegistryScanner (LocalMachine/Registry32)","OpenSource","MIT License (.NET Foundation / Microsoft Open Source)","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"AURA lighting effect add-on","0.0.60","ASUSTek COMPUTER INC.","","2026/07/15","","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Hardware Companion / OEM Bundled Software License","Medium","False",1,"Identifies motherboard, RGB lighting, peripheral control, and desktop utilities.","std.hardware.oem","2026/07/16 16:43:32 VN Time (UTC+7)"
"Microsoft .NET SDK 10.0.109 (x64)","10.1.926.27113","Microsoft Corporation","","2026/06/30","","","WindowsRegistryScanner (LocalMachine/Registry32)","OpenSource","MIT License (.NET Foundation / Microsoft Open Source)","Medium","False",1,"Verifies Microsoft system runtimes, SDKs, redistributable C++ libraries, and database drivers.","std.microsoft.runtimes","2026/07/16 16:43:32 VN Time (UTC+7)"
"Radmin VPN 2.0.9","2.0.4899.9","Famatech","C:\Program Files (x86)\Radmin VPN\","2026/05/23","2025/09/02 10:17:12 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","Freeware","Client Application / Service Terms of Use","High","True",1,"Verifies desktop messaging, cloud synchronization, and remote assistance client tools.","std.comm.collaborate","2026/07/16 16:43:32 VN Time (UTC+7)"
"ASUS Framework Service","4.2.4.13","ASUSTeK Computer Inc.","C:\Program Files (x86)\ASUS\ArmouryDevice","2026/04/17","2026/01/13 10:14:50 UTC","","WindowsRegistryScanner (LocalMachine/Registry32)","OpenSource","MIT License","Verified","True",1,"Evaluated via open source artifact and keyword matching. Verified: True.","std.opensource.artifact","2026/07/16 16:43:32 VN Time (UTC+7)"
